Part Code,Desc1,Desc2,HS Code,Cli Code,Vend Code,COE,TT,Cust Ctry,TaxRefNum,Annex,Part Group,AD Code,AD Rate,AD Rate Type,AD UOM Code,Part Type Code,Vend Price,Sls UOM Code,Exc Tax Ref Num,Part Category,Ext Fibre Coverage,Weight,Weight UOM,IP Comm Code,IP Cat Code,IP Agr Code,IP from US/MX,Blank,Rulling#,Cert Org Code,Cert Eff Date,Cert Exp Date,Def Proj Code,Stocking#,COO Code,OIC Rem Num,Part Class Code,Cert Type,Part ID,Spec Handling,Stocking%,Last Used Date,Qty/Pkg,TPL Possible,Part Note,Cert Sts,Duty Rate,Duty Type,OGD Code,OGD Sub Type,VFD Code,Vendor Part#,Client Part#,Airs Req Id,Airs Req Ver,Airs Code,End Use,Airs Misc Id,Prod Model,Prod Model Num,Prod Type Size,Prod Brand,Reason Imp Code,Compl Lbl Code,Compl Tire Code,Tiin Code,AD Rate2,AD Rate2 Type,AD Currency,HS Code Eff Date,HS Code Exp Date,Annex Code Eff Date,Annex Code Exp Date,Qty Conv UoM From,Qty Conv UoM To,Qty Conv UoM Factor,Qty Conv Description,Product Make,Assist Value,Assist Type (%/Amt),Assist Currency,Updated By,Updated Time
RIB-HT-WT,The Ribbed Hand Towel in White,The Ribbed Hand Towel in White,630260,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-WC-JD,The Ribbed Wash Cloth in Jade,The Ribbed Wash Cloth in Jade,630260,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-WC-LT,The Ribbed Wash Cloth in Latte,The Ribbed Wash Cloth in Latte,630260,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-WC-SPA,The Ribbed Wash Cloth in Spa,The Ribbed Wash Cloth in Spa,630260,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-WC-ST,The Ribbed Wash Cloth in Stone,The Ribbed Wash Cloth in Stone,630260,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-WC-TC,The Ribbed Wash Cloth in Terracotta,The Ribbed Wash Cloth in Terracotta,630260,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIB-WC-WT,The Ribbed Wash Cloth in White,The Ribbed Wash Cloth in White,630260,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKT01BN,The Rib Knit Throw in Bone,The Rib Knit Throw in Bone,630492,,,,,,,,,,,,,,24.95,,,,,,,,,,,,,630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKT02FIG,The Rib Knit Throw in Fig,The Rib Knit Throw in Fig,630492,,,,,,,,,,,,,,24.95,,,,,,,,,,,,,630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKT03CHR,The Rib Knit Throw in Charcoal,The Rib Knit Throw in Charcoal,630492,,,,,,,,,,,,,,24.95,,,,,,,,,,,,,630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
