Sku,Description,Cost,Price,Country of origin,US H.S Codes
RIB-BT-LT,The Ribbed Bath Towel in Latte,5.8,52,TR,630260
RIB-BT-SPA,The Ribbed Bath Towel in Spa,5.8,52,TR,630260
RIB-BT-ST,The Ribbed Bath Towel in Stone,5.8,52,TR,630260
RIB-BT-TC,The Ribbed Bath Towel in Terracotta,5.8,52,TR,630260
RIB-BT-WT,The Ribbed Bath Towel in White,5.8,52,TR,630260
RIB-HT-JD,The Ribbed Hand Towel in Jade,3.2,36,TR,630260
RIB-HT-LT,The Ribbed Hand Towel in Latte,3.2,36,TR,630260
RIB-HT-SPA,The Ribbed Hand Towel in Spa,3.2,36,TR,630260
RIB-HT-ST,The Ribbed Hand Towel in Stone,3.2,36,TR,630260
RIB-HT-TC,The Ribbed Hand Towel in Terracotta,3.2,36,TR,630260
RIB-HT-WT,The Ribbed Hand Towel in White,3.2,36,TR,630260
RIB-WC-JD,The Ribbed Wash Cloth in Jade,2.72,30,TR,630260
RIB-WC-LT,The Ribbed Wash Cloth in Latte,2.72,30,TR,630260
RIB-WC-SPA,The Ribbed Wash Cloth in Spa,2.72,30,TR,630260
RIB-WC-ST,The Ribbed Wash Cloth in Stone,2.72,30,TR,630260
RIB-WC-TC,The Ribbed Wash Cloth in Terracotta,2.72,30,TR,630260
RIB-WC-WT,The Ribbed Wash Cloth in White,2.72,30,TR,630260
RKT01BN,The Rib Knit Throw in Bone,24.95,124,TR,630492
RKT02FIG,The Rib Knit Throw in Fig,24.95,124,TR,630492
RKT03CHR,The Rib Knit Throw in Charcoal,24.95,124,TR,630492
SCQ01RB,The Stitched Cotton Quilt in Rainbow,58.9,294.5,TR,630419
SCQ02WT,The Stitched Cotton Quilt in White,57.9,294.5,TR,630419
SCQ03BN,The Stitched Cotton Quilt in Bone,57.9,294.5,TR,630419
SCQ04CHR,The Stitched Cotton Quilt in Charcoal,57.9,294.5,TR,630419
SCQ05DSK,The Stitched Cotton Quilt in Dusk,57.9,294.5,TR,630419
SCQ06CHO,The Stitched Cotton Quilt in Chocolate,57.9,294.5,TR,630419
SDO-BS-MSS,The Sedona Beach Towel in Moss,9.15,56,TR,630260
SDO-BS-TC,The Sedona Beach Towel in Terracotta,9.15,56,TR,630260
SEA01BW,The Seasons Blanket in Black,22.25,98,TR,630231
SEA02CB,The Seasons Blanket in Cream,22.25,98,TR,630231
SEA03CB,The Seasons Blanket in White,22.25,98,TR,630231
SHR01BL,The Blue Shoreline,6.5,50,TR,630291
SHR02TN,The Tan Shoreline,6.5,50,TR,630291
SHR03CL,The Colorful Shoreline,6.5,50,TR,630291
SMP01NV,The Navy Simple,5.3,44,TR,630291
SMP02ST,The Stone Simple,5.3,44,TR,630291
SMP03AQ,The Blue Simple,5.3,44,TR,630291
SMP04PN,The Pink Simple,5.3,44,TR,630291
SMP05YW,The Yellow Simple,5.3,44,TR,630291
SMP06MR,The Maroon Simple,5.3,44,TR,630291
SOL01WT,The White Solana,7.5,46,TR,630291
SPT01YL,The Yellow Spots,7.5,48,TR,630291
SPT02GL,The Golden Spots,7.5,48,TR,630291
SPT03ST,The Stone Spots,7.5,48,TR,630291
SPT04GR,The Green Spots,7.5,48,TR,630291
STN01BK,The Stone Blanket in Charcoal,20.8,82,TR,630231
STN02BU,The Stone Blanket in Blue,20.8,82,TR,630291
STN03DN,The Stone Blanket in Ice,20.8,82,TR,630231
TDY01PS,The Pastel Tie Dye,8.25,50,TR,630291
TID01CH,The Charcoal Tides XL,7.95,62,TR,630291
TID02RS,The Rose Tides XL,7.95,62,TR,630291
TID03MT,The Mint Tides XL,7.95,62,TR,630291
TKK01LM,The Lime Tiki,6.5,50,TR,630291
TKK02SN,The Sunset Tiki,6.5,50,TR,630291
TKK03GR,The Grey Tiki,6.5,48,TR,630291
TRB01GR,The Grey Tribal,6.95,48,TR,630291
TRB03TF,The Tiffany Tribal,6.95,48,TR,630291
TRB04PN,The Pink Tribal,6.95,48,TR,630291
TRB05ST,The Stone Tribal,6.95,48,TR,630291
TRB06MR,The Maroon Tribal,6.95,48,TR,630291
TRB07YL,The Yellow Tribal,6.95,48,TR,630291
WFB01CH,The Waffle Blanket in Charcoal,22.3,88,TR,630231
WFB02IC,The Waffle Blanket in Ice,21.8,50,TR,630291
WFB03FG,The Waffle Blanket in Fog,22.3,88,TR,630231
WFB04BL,The Waffle Blanket in Blue,21.8,50,TR,630291
WFB05HN,The Waffle Blanket in Honey,21.8,50,TR,630291
WFB06SG,The Waffle Blanket in Sage,22.3,88,TR,630231
WFB07CD,The Waffle Blanket in Cider,22.3,88,TR,630231
WFL-BS-CHR,The Waffle Bath Sheet in Charcoal,8.95,62,TR,630260
WFL-BS-WT,The Waffle Bath Sheet in White,8.95,62,TR,630260
WFL-HT-CHR,The Waffle Bath Hand Towel in Charcoal,5.9,44,TR,630260
WFL-HT-WT,The Waffle Bath Hand Towel in White,5.9,44,TR,630260
WFL01CH,Charcoal Waffle,8.15,50,TR,630291
WFL02GR,The Ice Waffle,8.15,50,TR,630291
WFL03SV,The Silver Waffle,8.15,50,TR,630291
WFL05HN,The Honey Waffle,8.15,50,TR,630291
WFL06OL,The Olive Waffle,8.15,50,TR,630291
WFL07QR,The Quartz Waffle,8.15,52,TR,630291
WFL08GN,The Granite Waffle,8.15,52,TR,630291
WFL09CR,The Crimson Waffle,8.15,52,TR,630291
WVS-BS-CRL,The Waves Beach Towel in Coral,9.95,56,TR,630260
WVS-BS-SEA,The Waves Beach Towel in Sea,9.95,56,TR,630260
